epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7202,1.02805,2.34959,1.35497,0.60966,0.28561,0.2564,0.15486,1.26239,2.28143,1.62987,0.00033,0.00033,0.00033
2,53.652,1.2814,2.12744,1.54782,0.51439,0.23025,0.16164,0.09362,1.50316,3.25155,1.85144,0.000656766,0.000656766,0.000656766
3,79.1967,1.34269,2.13873,1.60805,0.52229,0.21029,0.1593,0.09224,1.52857,4.31382,1.85777,0.000976933,0.000976933,0.000976933
4,104.553,1.3943,2.13735,1.62932,0.58201,0.27447,0.21871,0.11027,1.66742,3.07566,1.9384,0.0009703,0.0009703,0.0009703
5,130.807,1.35458,2.11921,1.63247,0.57624,0.28692,0.22473,0.1286,1.43456,2.55438,1.74849,0.0009604,0.0009604,0.0009604
6,156.525,1.30014,2.04381,1.57863,0.63902,0.28387,0.24794,0.1471,1.43397,2.19088,1.69302,0.0009505,0.0009505,0.0009505
7,182.02,1.27488,1.97254,1.56224,0.64034,0.26955,0.2463,0.14708,1.46673,2.11748,1.7013,0.0009406,0.0009406,0.0009406
8,207.591,1.22833,1.83867,1.51291,0.67321,0.33488,0.31825,0.19697,1.36149,1.93485,1.61643,0.0009307,0.0009307,0.0009307
9,233.289,1.2062,1.75178,1.51253,0.70013,0.30881,0.32242,0.20389,1.34842,1.80791,1.60604,0.0009208,0.0009208,0.0009208
10,258.94,1.18526,1.73566,1.49482,0.68804,0.34303,0.32195,0.20147,1.34357,1.87279,1.57956,0.0009109,0.0009109,0.0009109
11,284.596,1.1846,1.70976,1.46327,0.62206,0.36987,0.30061,0.19565,1.27005,1.91258,1.52848,0.000901,0.000901,0.000901
12,310.191,1.15026,1.72513,1.45917,0.68948,0.34124,0.32844,0.21775,1.27027,1.8585,1.5636,0.0008911,0.0008911,0.0008911
13,335.999,1.1107,1.65294,1.42837,0.71261,0.35158,0.35812,0.24507,1.21965,1.71025,1.54536,0.0008812,0.0008812,0.0008812
14,361.812,1.11324,1.62999,1.44416,0.70414,0.32952,0.35278,0.24142,1.30259,1.70425,1.56612,0.0008713,0.0008713,0.0008713
15,387.388,1.08333,1.51744,1.39513,0.70075,0.37371,0.35837,0.24444,1.22724,1.64262,1.50883,0.0008614,0.0008614,0.0008614
16,413.466,1.03966,1.52589,1.38771,0.70754,0.33682,0.33029,0.21772,1.21711,1.71126,1.49441,0.0008515,0.0008515,0.0008515
17,439.875,1.04708,1.48925,1.36578,0.75882,0.33704,0.38258,0.25674,1.20823,1.62716,1.49331,0.0008416,0.0008416,0.0008416
18,466.058,1.0254,1.46506,1.35679,0.75265,0.38321,0.39085,0.25699,1.24037,1.5704,1.51888,0.0008317,0.0008317,0.0008317
19,492.391,0.99335,1.4134,1.35333,0.716,0.38454,0.39105,0.25483,1.23334,1.55071,1.51987,0.0008218,0.0008218,0.0008218
20,518.517,0.99258,1.37381,1.33645,0.71518,0.37464,0.364,0.24419,1.21392,1.60838,1.47601,0.0008119,0.0008119,0.0008119
21,544.629,0.97901,1.32834,1.30873,0.55981,0.37142,0.37096,0.25567,1.14574,1.55117,1.42122,0.000802,0.000802,0.000802
22,570.699,0.97549,1.29525,1.29897,0.68614,0.44013,0.3907,0.26307,1.14163,1.53985,1.42906,0.0007921,0.0007921,0.0007921
23,596.97,0.91759,1.25933,1.30104,0.73983,0.40018,0.39399,0.27009,1.16521,1.56434,1.46972,0.0007822,0.0007822,0.0007822
24,623.274,0.94742,1.25701,1.31345,0.76298,0.37636,0.3973,0.26782,1.20663,1.48066,1.47281,0.0007723,0.0007723,0.0007723
25,649.398,0.92596,1.21905,1.29156,0.76364,0.37655,0.40493,0.28459,1.14399,1.46869,1.44504,0.0007624,0.0007624,0.0007624
26,675.68,0.94237,1.22303,1.30367,0.76612,0.39267,0.39855,0.28014,1.15956,1.44333,1.45097,0.0007525,0.0007525,0.0007525
27,701.6,0.92447,1.19012,1.27216,0.56625,0.3847,0.39725,0.27496,1.13791,1.46768,1.42015,0.0007426,0.0007426,0.0007426
28,727.541,0.90002,1.1622,1.26893,0.74525,0.3742,0.39628,0.27836,1.15397,1.49056,1.47135,0.0007327,0.0007327,0.0007327
29,753.711,0.89617,1.17252,1.28017,0.70699,0.41304,0.40414,0.27885,1.12975,1.40213,1.44089,0.0007228,0.0007228,0.0007228
30,779.756,0.86498,1.16107,1.24394,0.75659,0.36507,0.38058,0.26608,1.14009,1.52146,1.43293,0.0007129,0.0007129,0.0007129
31,806.253,0.89266,1.13416,1.24587,0.60079,0.37012,0.40857,0.29078,1.15642,1.45878,1.41936,0.000703,0.000703,0.000703
32,832.722,0.86892,1.10236,1.24898,0.71909,0.41444,0.39146,0.27831,1.11147,1.4833,1.41325,0.0006931,0.0006931,0.0006931
33,858.823,0.8344,1.06718,1.2127,0.74444,0.40107,0.39429,0.27977,1.11927,1.51229,1.42398,0.0006832,0.0006832,0.0006832
